home,away,close_time,pre_close_mid
DET,POR,2025-12-23 06:00:35.085833+00:00,0.685
WAS,CHA,2025-12-24 02:40:21.209516+00:00,0.685
BKN,PHI,2025-12-24 03:00:21.027361+00:00,0.235
NOP,CLE,2025-12-24 03:10:18.801971+00:00,0.765
MIL,IND,2025-12-24 03:10:20.078099+00:00,0.475
TOR,MIA,2025-12-24 03:14:50.846887+00:00,0.655
CHI,ATL,2025-12-24 03:20:08.270656+00:00,0.575
DEN,DAL,2025-12-24 03:34:41.067424+00:00,0.325
NYK,MIN,2025-12-24 03:50:02.899562+00:00,0.705
OKC,SAS,2025-12-24 04:14:41.405399+00:00,0.675
LAL,PHX,2025-12-24 04:39:47.248718+00:00,0.41
MEM,UTA,2025-12-24 04:54:33.869747+00:00,0.615
ORL,POR,2025-12-24 05:39:58.178743+00:00,0.525
DET,SAC,2025-12-24 06:00:04.271701+00:00,0.79
HOU,LAC,2025-12-24 06:09:45.618125+00:00,0.72
CLE,NYK,2025-12-25 19:54:27.817598+00:00,0.345
SAS,OKC,2025-12-25 22:10:10.587605+00:00,0.755
DAL,GSW,2025-12-26 01:01:03.609687+00:00,0.275
HOU,LAL,2025-12-26 03:49:56.246482+00:00,0.555
MIN,DEN,2025-12-26 07:04:24.416899+00:00,0.395
MIA,ATL,2025-12-27 02:30:36.244964+00:00,0.595
TOR,WAS,2025-12-27 02:34:40.339525+00:00,0.745
CHA,ORL,2025-12-27 02:44:43.312833+00:00,0.325
BOS,IND,2025-12-27 02:44:43.665276+00:00,0.745
PHI,CHI,2025-12-27 03:20:17.091856+00:00,0.485
MIL,MEM,2025-12-27 03:44:30.419432+00:00,0.645
PHX,NOP,2025-12-27 03:54:29.131724+00:00,0.365
DET,UTA,2025-12-27 05:19:45.680338+00:00,0.78
LAC,POR,2025-12-27 05:50:02.860326+00:00,0.575
DAL,SAC,2025-12-28 00:24:41.855280+00:00,0.575
PHX,NOP,2025-12-28 03:10:20.747598+00:00,0.365
DEN,ORL,2025-12-28 03:19:55.274947+00:00,0.615
